Title,Summary,Date,Articles
"Amazon to lay off 9,000 more workers in addition to earlier cuts","Amazon will lay off 9000 more employees, CEO Andy Jassy said in a memo to staff Monday.",20 Mar 2023,"Amazon to lay off 9,000 more workers in addition to earlier cuts. Amazon will lay off 9000 more employees, CEO Andy Jassy said in a memo to staff Monday."
Update from CEO Andy Jassy on role eliminations,"Between the reductions we made in November and the ones we're sharing today, we plan to eliminate just over 18,000 roles. Several teams are impacted; however,...",4 Jan 2023,"Update from CEO Andy Jassy on role eliminations. Between the reductions we made in November and the ones we're sharing today, we plan to eliminate just over 18,000 roles. Several teams are impacted; however,..."
Amazon Pay Redoubles Its Efforts In India,"Only Google has established a strong foothold, while Facebook, WhatsApp and Amazon have been unable to grow their market share substantively.",3 days ago,"Amazon Pay Redoubles Its Efforts In India. Only Google has established a strong foothold, while Facebook, WhatsApp and Amazon have been unable to grow their market share substantively."
"Amazon.com, Inc. (AMZN) Stock Price, News, Quote & History","Find the latest Amazon.com, Inc. (AMZN) stock quote, history, news and other vital information to help you with your stock trading and investing.",21 Sept 2023,"Amazon.com, Inc. (AMZN) Stock Price, News, Quote & History. Find the latest Amazon.com, Inc. (AMZN) stock quote, history, news and other vital information to help you with your stock trading and investing."
Focus: ChatGPT launches boom in AI-written e-books on Amazon,Now ChatGPT appears ready to upend the staid book industry as would-be novelists and self-help gurus looking to make a quick buck are turning to the software to...,21 Feb 2023,Focus: ChatGPT launches boom in AI-written e-books on Amazon. Now ChatGPT appears ready to upend the staid book industry as would-be novelists and self-help gurus looking to make a quick buck are turning to the software to...
Amazon Bets $150 Billion on Data Centers Required for AI Boom,Amazon Bets $150 Billion on Data Centers Required for AI Boom. Spending spree is a show of force as the company looks to retain cloud computing edge over...,3 weeks ago,Amazon Bets $150 Billion on Data Centers Required for AI Boom. Amazon Bets $150 Billion on Data Centers Required for AI Boom. Spending spree is a show of force as the company looks to retain cloud computing edge over...
Amazon strikes ad data deal with Reach as Google kills off cookies,"In one of the first such agreements in Europe, Amazon and Reach unveiled a partnership on Monday designed to compensate for the loss of “third party” cookies...",5 Feb 2024,"Amazon strikes ad data deal with Reach as Google kills off cookies. In one of the first such agreements in Europe, Amazon and Reach unveiled a partnership on Monday designed to compensate for the loss of “third party” cookies..."
"Amazon CodeWhisperer, Free for Individual Use, is Now Generally Available | 
Amazon Web Services","Amazon CodeWhisperer, Free for Individual Use, is Now Generally Available ... Today, Amazon CodeWhisperer, a real-time AI coding companion, is generally available...",13 Apr 2023,"Amazon CodeWhisperer, Free for Individual Use, is Now Generally Available | 
Amazon Web Services. Amazon CodeWhisperer, Free for Individual Use, is Now Generally Available ... Today, Amazon CodeWhisperer, a real-time AI coding companion, is generally available..."
Amazon Maintains Cloud Lead as Microsoft Edges Closer,"According to estimates from Synergy Research Group, Amazon's market share in the worldwide cloud infrastructure market amounted to 31 percent in the fourth...",5 Feb 2024,"Amazon Maintains Cloud Lead as Microsoft Edges Closer. According to estimates from Synergy Research Group, Amazon's market share in the worldwide cloud infrastructure market amounted to 31 percent in the fourth..."
AWS AI updates: Amazon Bedrock and 3 generative AI innovations,"Amazon Bedrock is a new service for building and scaling generative AI applications, which are applications that can generate text, images, audio, and synthetic...",13 Apr 2023,"AWS AI updates: Amazon Bedrock and 3 generative AI innovations. Amazon Bedrock is a new service for building and scaling generative AI applications, which are applications that can generate text, images, audio, and synthetic..."
