Title,Summary,Date,Articles
"Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV 
competition","Tesla has canceled the long-promised inexpensive car that investors have been counting on to drive its growth into a mass-market automaker, according to...",2 weeks ago,"Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV 
competition. Tesla has canceled the long-promised inexpensive car that investors have been counting on to drive its growth into a mass-market automaker, according to..."
"Tesla cuts US prices by US$2,000 as sales slow, inventories swell","TESLA cut the price of its best selling Model Y, the Model X and the Model S by US$2,000 in the US late Friday (Apr 19) after disappointing first-quarter...",2 days ago,"Tesla cuts US prices by US$2,000 as sales slow, inventories swell. TESLA cut the price of its best selling Model Y, the Model X and the Model S by US$2,000 in the US late Friday (Apr 19) after disappointing first-quarter..."
"Me And My Car: Globe-trotting banker's maiden EV is a parallel-imported 
Tesla Model S",Me And My Car: Globe-trotting banker's maiden EV is a parallel-imported Tesla Model S ... SINGAPORE – When Ms Anju Abrol was ready to make her leap into electric...,12 Jan 2024,"Me And My Car: Globe-trotting banker's maiden EV is a parallel-imported 
Tesla Model S. Me And My Car: Globe-trotting banker's maiden EV is a parallel-imported Tesla Model S ... SINGAPORE – When Ms Anju Abrol was ready to make her leap into electric..."
Tesla discounts cars in Singapore to make them 'more affordable',"Elon Musk's company announced in a press release on Friday that new Model 3 and Model Y vehicles will be discounted by 4,000 to 5,000 Singapore dollars, or...",14 Apr 2023,"Tesla discounts cars in Singapore to make them 'more affordable'. Elon Musk's company announced in a press release on Friday that new Model 3 and Model Y vehicles will be discounted by 4,000 to 5,000 Singapore dollars, or..."
"Chinese electric car makers suffer as Elon Musk doubles down on Tesla price 
war","Shares in Tesla's Chinese rivals fell on Thursday, after CEO Elon Musk signaled that the company will continue cutting prices to boost demand for electric...",20 Apr 2023,"Chinese electric car makers suffer as Elon Musk doubles down on Tesla price 
war. Shares in Tesla's Chinese rivals fell on Thursday, after CEO Elon Musk signaled that the company will continue cutting prices to boost demand for electric..."
ARK's Expected Value For Tesla In 2027: $2000 Per Share,ARK's price target for Tesla is $2000 per share in 2027 with our bear and bull cases valued between ~$1400 and $2500 per share in 2027.,20 Apr 2023,ARK's Expected Value For Tesla In 2027: $2000 Per Share. ARK's price target for Tesla is $2000 per share in 2027 with our bear and bull cases valued between ~$1400 and $2500 per share in 2027.
Tesla cars face more entry bans in China as 'security concerns' accelerate,Tesla cars face more entry bans in China as 'security concerns' accelerate ... TAIPEI/BEIJING -- Tesla drivers in China are facing entry restrictions at more...,24 Jan 2024,Tesla cars face more entry bans in China as 'security concerns' accelerate. Tesla cars face more entry bans in China as 'security concerns' accelerate ... TAIPEI/BEIJING -- Tesla drivers in China are facing entry restrictions at more...
Tesla Trims Car Output in China as EV Sales Growth Slows,"Tesla Inc. has reduced production at its plant in China, according to people familiar with the matter, amid sluggish growth in electric-vehicle sales and...",1 month ago,"Tesla Trims Car Output in China as EV Sales Growth Slows. Tesla Inc. has reduced production at its plant in China, according to people familiar with the matter, amid sluggish growth in electric-vehicle sales and..."
Tesla overtaken by China's BYD as world's biggest EV maker,Fourth-quarter sales from Elon Musk's group beat estimates but fall behind Chinese rival for the first time.,2 Jan 2024,Tesla overtaken by China's BYD as world's biggest EV maker. Fourth-quarter sales from Elon Musk's group beat estimates but fall behind Chinese rival for the first time.
"The updated Tesla Model 3 is now available in Singapore in RWD and AWD 
variants",The updated Model 3 is finally on our shores and prices start at S$88650 (excluding COE). #tesla #model3 #ev.,5 Nov 2023,"The updated Tesla Model 3 is now available in Singapore in RWD and AWD 
variants. The updated Model 3 is finally on our shores and prices start at S$88650 (excluding COE). #tesla #model3 #ev."
